starting system statistics data collection
Linux 3.10.0-229.1.2.el7.x86_64 (CentOS-71-64-minimal) 	05/06/2015 	_x86_64_	(16 CPU)

05:32:46 PM     CPU     %user     %nice   %system   %iowait    %steal     %idle
05:33:46 PM     all     43.15      0.00      7.05      1.24      0.00     48.55
05:34:46 PM     all     40.24      0.00      6.31      1.80      0.00     51.66
05:35:46 PM     all     42.04      0.00      6.62      1.59      0.00     49.76
05:36:46 PM     all     37.84      0.00      6.18      1.98      0.00     54.01
05:37:46 PM     all     38.79      0.00      5.85      1.82      0.00     53.55
05:38:46 PM     all     39.60      0.00      6.40      1.92      0.00     52.09
05:39:46 PM     all     38.95      0.00      6.33      1.62      0.00     53.10
05:40:46 PM     all     38.82      0.00      6.23      1.53      0.00     53.42
05:41:46 PM     all     36.89      0.00      5.81      2.17      0.00     55.13
05:42:46 PM     all     37.86      0.00      6.01      2.04      0.00     54.09
05:43:46 PM     all     11.56      0.00      1.65      1.14      0.00     85.65
Average:        all     36.85      0.00      5.85      1.71      0.00     55.58
